uf;municipio;ano;mes;vitimas
RS;BALNEÁRIO PINHAL;2024;5;1.0
RS;BALNEÁRIO PINHAL;2024;6;1.0
RS;BALNEÁRIO PINHAL;2024;7;0.0
RS;BALNEÁRIO PINHAL;2024;8;1.0
RS;BALNEÁRIO PINHAL;2024;9;0.0
RS;BALNEÁRIO PINHAL;2024;10;0.0
RS;BALNEÁRIO PINHAL;2024;11;0.0
RS;BALNEÁRIO PINHAL;2024;12;0.0
RS;BARRA DO GUARITA;2024;1;0.0
RS;BARRA DO GUARITA;2024;2;0.0
RS;BARRA DO GUARITA;2024;3;0.0
RS;BARRA DO GUARITA;2024;4;0.0
RS;BARRA DO GUARITA;2024;5;0.0
RS;BARRA DO GUARITA;2024;6;0.0
RS;BARRA DO GUARITA;2024;7;0.0
RS;BARRA DO GUARITA;2024;8;0.0
RS;BARRA DO GUARITA;2024;9;0.0
RS;BARRA DO GUARITA;2024;10;0.0
RS;BARRA DO GUARITA;2024;11;0.0
RS;BARRA DO GUARITA;2024;12;0.0
RS;BARRA DO QUARAÍ;2024;1;0.0
RS;BARRA DO QUARAÍ;2024;2;0.0
RS;BARRA DO QUARAÍ;2024;3;3.0
RS;BARRA DO QUARAÍ;2024;4;0.0
RS;BARRA DO QUARAÍ;2024;5;0.0
RS;BARRA DO QUARAÍ;2024;6;0.0
RS;BARRA DO QUARAÍ;2024;7;0.0
RS;BARRA DO QUARAÍ;2024;8;0.0
RS;BARRA DO QUARAÍ;2024;9;0.0
RS;BARRA DO QUARAÍ;2024;10;0.0
RS;BARRA DO QUARAÍ;2024;11;0.0
RS;BARRA DO QUARAÍ;2024;12;0.0
RS;BARRA DO RIBEIRO;2024;1;0.0
RS;BARRA DO RIBEIRO;2024;2;0.0
RS;BARRA DO RIBEIRO;2024;3;0.0
RS;BARRA DO RIBEIRO;2024;4;0.0
RS;BARRA DO RIBEIRO;2024;5;0.0
RS;BARRA DO RIBEIRO;2024;6;0.0
RS;BARRA DO RIBEIRO;2024;7;0.0
RS;BARRA DO RIBEIRO;2024;8;0.0
RS;BARRA DO RIBEIRO;2024;9;2.0
RS;BARRA DO RIBEIRO;2024;10;1.0
RS;BARRA DO RIBEIRO;2024;11;0.0
RS;BARRA DO RIBEIRO;2024;12;2.0
RS;BARRA DO RIO AZUL;2024;1;0.0
RS;BARRA DO RIO AZUL;2024;2;0.0
RS;BARRA DO RIO AZUL;2024;3;0.0
RS;BARRA DO RIO AZUL;2024;4;0.0
RS;BARRA DO RIO AZUL;2024;5;0.0
RS;BARRA DO RIO AZUL;2024;6;0.0
RS;BARRA DO RIO AZUL;2024;7;0.0
RS;BARRA DO RIO AZUL;2024;8;0.0
RS;BARRA DO RIO AZUL;2024;9;0.0
RS;BARRA DO RIO AZUL;2024;10;0.0
RS;BARRA DO RIO AZUL;2024;11;0.0
RS;BARRA DO RIO AZUL;2024;12;0.0
RS;BARRA FUNDA;2024;1;0.0
RS;BARRA FUNDA;2024;2;0.0
RS;BARRA FUNDA;2024;3;0.0
RS;BARRA FUNDA;2024;4;0.0
RS;BARRA FUNDA;2024;5;0.0
RS;BARRA FUNDA;2024;6;0.0
RS;BARRA FUNDA;2024;7;0.0
RS;BARRA FUNDA;2024;8;0.0
RS;BARRA FUNDA;2024;9;0.0
RS;BARRA FUNDA;2024;10;0.0
RS;BARRA FUNDA;2024;11;0.0
RS;BARRA FUNDA;2024;12;0.0
RS;BARRACÃO;2024;1;0.0
RS;BARRACÃO;2024;2;0.0
RS;BARRACÃO;2024;3;0.0
RS;BARRACÃO;2024;4;0.0
RS;BARRACÃO;2024;5;0.0
RS;BARRACÃO;2024;6;0.0
RS;BARRACÃO;2024;7;1.0
RS;BARRACÃO;2024;8;0.0
RS;BARRACÃO;2024;9;0.0
RS;BARRACÃO;2024;10;1.0
RS;BARRACÃO;2024;11;0.0
RS;BARRACÃO;2024;12;0.0
RS;BARROS CASSAL;2024;1;0.0
RS;BARROS CASSAL;2024;2;0.0
RS;BARROS CASSAL;2024;3;0.0
RS;BARROS CASSAL;2024;4;2.0
RS;BARROS CASSAL;2024;5;0.0
RS;BARROS CASSAL;2024;6;0.0
RS;BARROS CASSAL;2024;7;0.0
RS;BARROS CASSAL;2024;8;0.0
RS;BARROS CASSAL;2024;9;0.0
RS;BARROS CASSAL;2024;10;0.0
RS;BARROS CASSAL;2024;11;0.0
RS;BARROS CASSAL;2024;12;0.0
RS;BARÃO;2024;1;0.0
RS;BARÃO;2024;2;0.0
RS;BARÃO;2024;3;0.0
RS;BARÃO;2024;4;0.0
RS;BARÃO;2024;5;0.0
RS;BARÃO;2024;6;0.0
RS;BARÃO;2024;7;0.0
RS;BARÃO;2024;8;0.0
RS;BARÃO;2024;9;0.0
RS;BARÃO;2024;10;0.0
RS;BARÃO;2024;11;0.0
RS;BARÃO;2024;12;0.0
RS;BARÃO DE COTEGIPE;2024;1;0.0
RS;BARÃO DE COTEGIPE;2024;2;0.0
RS;BARÃO DE COTEGIPE;2024;3;0.0
RS;BARÃO DE COTEGIPE;2024;4;0.0
RS;BARÃO DE COTEGIPE;2024;5;0.0
RS;BARÃO DE COTEGIPE;2024;6;0.0
RS;BARÃO DE COTEGIPE;2024;7;2.0
RS;BARÃO DE COTEGIPE;2024;8;0.0
RS;BARÃO DE COTEGIPE;2024;9;0.0
RS;BARÃO DE COTEGIPE;2024;10;0.0
RS;BARÃO DE COTEGIPE;2024;11;0.0
RS;BARÃO DE COTEGIPE;2024;12;0.0
RS;BARÃO DO TRIUNFO;2024;1;0.0
RS;BARÃO DO TRIUNFO;2024;2;0.0
RS;BARÃO DO TRIUNFO;2024;3;0.0
RS;BARÃO DO TRIUNFO;2024;4;0.0
RS;BARÃO DO TRIUNFO;2024;5;0.0
RS;BARÃO DO TRIUNFO;2024;6;0.0
RS;BARÃO DO TRIUNFO;2024;7;0.0
RS;BARÃO DO TRIUNFO;2024;8;0.0
RS;BARÃO DO TRIUNFO;2024;9;0.0
