municipio;ano;total_vitimas_ano
LAVRAS DO SUL;2023;2
LIBERATO SALZANO;2020;0
LIBERATO SALZANO;2021;0
LIBERATO SALZANO;2022;0
LIBERATO SALZANO;2023;0
LINDOLFO COLLOR;2020;2
LINDOLFO COLLOR;2021;0
LINDOLFO COLLOR;2022;4
LINDOLFO COLLOR;2023;2
LINHA NOVA;2020;0
LINHA NOVA;2021;0
LINHA NOVA;2022;0
LINHA NOVA;2023;0
MACAMBARA;2020;1
MACAMBARA;2021;0
MACAMBARA;2022;0
MACAMBARA;2023;2
MACHADINHO;2020;0
MACHADINHO;2021;0
MACHADINHO;2022;8
MACHADINHO;2023;0
MAMPITUBA;2020;1
MAMPITUBA;2021;0
MAMPITUBA;2022;0
MAMPITUBA;2023;0
MANOEL VIANA;2020;6
MANOEL VIANA;2021;0
MANOEL VIANA;2022;2
MANOEL VIANA;2023;1
MAQUINE;2020;0
MAQUINE;2021;2
MAQUINE;2022;2
MAQUINE;2023;5
MARATA;2020;0
MARATA;2021;0
MARATA;2022;0
MARATA;2023;0
MARAU;2020;19
MARAU;2021;5
MARAU;2022;12
MARAU;2023;7
MARCELINO RAMOS;2020;0
MARCELINO RAMOS;2021;1
MARCELINO RAMOS;2022;0
MARCELINO RAMOS;2023;1
MARIANA PIMENTEL;2020;0
MARIANA PIMENTEL;2021;1
MARIANA PIMENTEL;2022;2
MARIANA PIMENTEL;2023;0
MARIANO MORO;2020;0
MARIANO MORO;2021;0
MARIANO MORO;2022;0
MARIANO MORO;2023;0
MARQUES DE SOUZA;2020;0
MARQUES DE SOUZA;2021;1
MARQUES DE SOUZA;2022;0
MARQUES DE SOUZA;2023;0
MATA;2020;0
MATA;2021;1
MATA;2022;0
MATA;2023;1
MATO CASTELHANO;2020;1
MATO CASTELHANO;2021;0
MATO CASTELHANO;2022;1
MATO CASTELHANO;2023;0
MATO LEITAO;2020;0
MATO LEITAO;2021;0
MATO LEITAO;2022;1
MATO LEITAO;2023;0
MATO QUEIMADO;2020;0
MATO QUEIMADO;2021;0
MATO QUEIMADO;2022;0
MATO QUEIMADO;2023;0
MAXIMILIANO DE ALMEIDA;2020;0
MAXIMILIANO DE ALMEIDA;2021;0
MAXIMILIANO DE ALMEIDA;2022;0
MAXIMILIANO DE ALMEIDA;2023;0
MINAS DO LEAO;2020;1
MINAS DO LEAO;2021;3
MINAS DO LEAO;2022;4
MINAS DO LEAO;2023;0
MIRAGUAI;2020;3
MIRAGUAI;2021;1
MIRAGUAI;2022;1
MIRAGUAI;2023;3
MONTAURI;2020;0
MONTAURI;2021;0
MONTAURI;2022;0
MONTAURI;2023;0
MONTE ALEGRE DOS CAMPOS;2020;0
MONTE ALEGRE DOS CAMPOS;2021;1
MONTE ALEGRE DOS CAMPOS;2022;2
MONTE ALEGRE DOS CAMPOS;2023;0
MONTE BELO DO SUL;2020;0
MONTE BELO DO SUL;2021;1
MONTE BELO DO SUL;2022;0
MONTE BELO DO SUL;2023;0
MONTENEGRO;2020;17
MONTENEGRO;2021;11
MONTENEGRO;2022;18
MONTENEGRO;2023;29
MORMACO;2020;0
MORMACO;2021;0
MORMACO;2022;1
MORMACO;2023;2
MORRINHOS DO SUL;2020;0
MORRINHOS DO SUL;2021;0
MORRINHOS DO SUL;2022;0
MORRINHOS DO SUL;2023;0
MORRO REDONDO;2020;0
MORRO REDONDO;2021;1
MORRO REDONDO;2022;1
MORRO REDONDO;2023;0
MORRO REUTER;2020;1
MORRO REUTER;2021;1
MORRO REUTER;2022;0
MORRO REUTER;2023;1
MOSTARDAS;2020;2
MOSTARDAS;2021;0
MOSTARDAS;2022;4
MOSTARDAS;2023;1
MUCUM;2020;2
MUCUM;2021;0
MUCUM;2022;0
MUCUM;2023;0
MUITOS CAPOES;2020;2
MUITOS CAPOES;2021;1
MUITOS CAPOES;2022;0
MUITOS CAPOES;2023;0
MULITERNO;2020;1
MULITERNO;2021;0
MULITERNO;2022;0
MULITERNO;2023;1
NAO INFORMADO;2020;0
NAO INFORMADO;2021;0
NAO INFORMADO;2022;0
NAO INFORMADO;2023;0
NAO-ME-TOQUE;2020;9
NAO-ME-TOQUE;2021;5
NAO-ME-TOQUE;2022;6
NAO-ME-TOQUE;2023;5
NICOLAU VERGUEIRO;2020;0
NICOLAU VERGUEIRO;2021;1
NICOLAU VERGUEIRO;2022;0
NICOLAU VERGUEIRO;2023;0
NONOAI;2020;7
NONOAI;2021;7
NONOAI;2022;1
NONOAI;2023;2
NOVA ALVORADA;2020;0
NOVA ALVORADA;2021;1
NOVA ALVORADA;2022;0
NOVA ALVORADA;2023;1
NOVA ARACA;2020;1
NOVA ARACA;2021;0
NOVA ARACA;2022;1
NOVA ARACA;2023;0
NOVA BASSANO;2020;0
NOVA BASSANO;2021;2
NOVA BASSANO;2022;2
NOVA BASSANO;2023;0
NOVA BOA VISTA;2020;0
NOVA BOA VISTA;2021;0
NOVA BOA VISTA;2022;0
NOVA BOA VISTA;2023;0
NOVA BRESCIA;2020;1
NOVA BRESCIA;2021;0
NOVA BRESCIA;2022;2
NOVA BRESCIA;2023;0
NOVA CANDELARIA;2020;0
NOVA CANDELARIA;2021;0
NOVA CANDELARIA;2022;0
NOVA CANDELARIA;2023;0
NOVA ESPERANCA DO SUL;2020;1
NOVA ESPERANCA DO SUL;2021;3
NOVA ESPERANCA DO SUL;2022;0
NOVA ESPERANCA DO SUL;2023;1
NOVA HARTZ;2020;6
NOVA HARTZ;2021;3
NOVA HARTZ;2022;6
NOVA HARTZ;2023;2
NOVA PADUA;2020;0
NOVA PADUA;2021;1
NOVA PADUA;2022;0
NOVA PADUA;2023;2
NOVA PALMA;2020;3
NOVA PALMA;2021;4
NOVA PALMA;2022;0
NOVA PALMA;2023;2
NOVA PETROPOLIS;2020;1
NOVA PETROPOLIS;2021;2
NOVA PETROPOLIS;2022;1
NOVA PETROPOLIS;2023;0
NOVA PRATA;2020;10
NOVA PRATA;2021;1
NOVA PRATA;2022;9
NOVA PRATA;2023;2
NOVA RAMADA;2020;0
NOVA RAMADA;2021;0
NOVA RAMADA;2022;0
NOVA RAMADA;2023;0
NOVA ROMA DO SUL;2020;0
NOVA ROMA DO SUL;2021;0
NOVA ROMA DO SUL;2022;0
NOVA ROMA DO SUL;2023;0
NOVA SANTA RITA;2020;6
NOVA SANTA RITA;2021;5
NOVA SANTA RITA;2022;10
NOVA SANTA RITA;2023;15
NOVO BARREIRO;2020;2
NOVO BARREIRO;2021;1
NOVO BARREIRO;2022;0
NOVO BARREIRO;2023;0
NOVO CABRAIS;2020;0
NOVO CABRAIS;2021;0
NOVO CABRAIS;2022;0
NOVO CABRAIS;2023;0
NOVO HAMBURGO;2020;76
NOVO HAMBURGO;2021;62
NOVO HAMBURGO;2022;45
NOVO HAMBURGO;2023;25
NOVO MACHADO;2020;1
NOVO MACHADO;2021;0
NOVO MACHADO;2022;0
NOVO MACHADO;2023;0
NOVO TIRADENTES;2020;0
NOVO TIRADENTES;2021;0
NOVO TIRADENTES;2022;0
NOVO TIRADENTES;2023;0
NOVO XINGU;2020;0
NOVO XINGU;2021;0
NOVO XINGU;2022;0
NOVO XINGU;2023;0
OSORIO;2020;20
OSORIO;2021;10
OSORIO;2022;6
OSORIO;2023;5
PAIM FILHO;2020;3
PAIM FILHO;2021;1
PAIM FILHO;2022;0
PAIM FILHO;2023;0
PALMARES DO SUL;2020;1
PALMARES DO SUL;2021;5
PALMARES DO SUL;2022;2
PALMARES DO SUL;2023;2
PALMEIRA DAS MISSOES;2020;16
PALMEIRA DAS MISSOES;2021;11
PALMEIRA DAS MISSOES;2022;4
PALMEIRA DAS MISSOES;2023;8
PALMITINHO;2020;0
PALMITINHO;2021;4
PALMITINHO;2022;0
PALMITINHO;2023;0
PANAMBI;2020;2
PANAMBI;2021;5
PANAMBI;2022;3
PANAMBI;2023;9
PANTANO GRANDE;2020;0
PANTANO GRANDE;2021;2
PANTANO GRANDE;2022;1
PANTANO GRANDE;2023;2
PARAI;2020;0
PARAI;2021;2
PARAI;2022;0
PARAI;2023;0
PARAISO DO SUL;2020;1
PARAISO DO SUL;2021;0
PARAISO DO SUL;2022;0
PARAISO DO SUL;2023;0
PARECI NOVO;2020;1
PARECI NOVO;2021;0
PARECI NOVO;2022;0
PARECI NOVO;2023;0
PAROBE;2020;6
PAROBE;2021;9
PAROBE;2022;8
PAROBE;2023;4
PASSA SETE;2020;0
PASSA SETE;2021;0
PASSA SETE;2022;0
PASSA SETE;2023;0
PASSO DO SOBRADO;2020;0
PASSO DO SOBRADO;2021;1
PASSO DO SOBRADO;2022;2
PASSO DO SOBRADO;2023;6
PASSO FUNDO;2020;64
PASSO FUNDO;2021;67
PASSO FUNDO;2022;68
PASSO FUNDO;2023;72
PAULO BENTO;2020;0
PAULO BENTO;2021;0
PAULO BENTO;2022;0
PAULO BENTO;2023;0
PAVERAMA;2020;1
PAVERAMA;2021;5
PAVERAMA;2022;1
PAVERAMA;2023;1
PEDRAS ALTAS;2020;0
PEDRAS ALTAS;2021;2
PEDRAS ALTAS;2022;1
PEDRAS ALTAS;2023;2
PEDRO OSORIO;2020;1
PEDRO OSORIO;2021;1
PEDRO OSORIO;2022;2
PEDRO OSORIO;2023;2
PEJUCARA;2020;1
PEJUCARA;2021;3
PEJUCARA;2022;0
PEJUCARA;2023;4
PELOTAS;2020;65
PELOTAS;2021;47
PELOTAS;2022;65
PELOTAS;2023;51
PICADA CAFE;2020;2
PICADA CAFE;2021;0
PICADA CAFE;2022;0
PICADA CAFE;2023;0
PINHAL;2020;0
PINHAL;2021;0
PINHAL;2022;0
PINHAL;2023;0
PINHAL DA SERRA;2020;2
PINHAL DA SERRA;2021;0
PINHAL DA SERRA;2022;0
PINHAL DA SERRA;2023;0
PINHAL GRANDE;2020;0
PINHAL GRANDE;2021;0
PINHAL GRANDE;2022;0
PINHAL GRANDE;2023;0
PINHEIRINHO DO VALE;2020;2
PINHEIRINHO DO VALE;2021;1
PINHEIRINHO DO VALE;2022;0
PINHEIRINHO DO VALE;2023;0
PINHEIRO MACHADO;2020;2
PINHEIRO MACHADO;2021;3
PINHEIRO MACHADO;2022;3
PINHEIRO MACHADO;2023;0
PINTO BANDEIRA;2020;0
PINTO BANDEIRA;2021;0
PINTO BANDEIRA;2022;0
PINTO BANDEIRA;2023;2
PIRAPO;2020;0
PIRAPO;2021;1
PIRAPO;2022;0
PIRAPO;2023;4
PIRATINI;2020;1
PIRATINI;2021;6
PIRATINI;2022;4
PIRATINI;2023;3
PLANALTO;2020;4
PLANALTO;2021;5
PLANALTO;2022;16
PLANALTO;2023;16
POCO DAS ANTAS;2020;3
POCO DAS ANTAS;2021;0
POCO DAS ANTAS;2022;0
POCO DAS ANTAS;2023;0
PONTAO;2020;1
PONTAO;2021;3
PONTAO;2022;0
PONTAO;2023;0
PONTE PRETA;2020;0
PONTE PRETA;2021;0
PONTE PRETA;2022;0
PONTE PRETA;2023;0
PORTAO;2020;5
PORTAO;2021;16
PORTAO;2022;6
PORTAO;2023;9
PORTO ALEGRE;2020;175
PORTO ALEGRE;2021;388
PORTO ALEGRE;2022;434
PORTO ALEGRE;2023;373
PORTO LUCENA;2020;283
PORTO LUCENA;2021;0
PORTO LUCENA;2022;0
PORTO LUCENA;2023;0
PORTO MAUA;2020;1
PORTO MAUA;2021;0
PORTO MAUA;2022;0
PORTO MAUA;2023;0
PORTO VERA CRUZ;2020;0
PORTO VERA CRUZ;2021;0
PORTO VERA CRUZ;2022;0
PORTO VERA CRUZ;2023;0
PORTO XAVIER;2020;0
PORTO XAVIER;2021;5
PORTO XAVIER;2022;1
PORTO XAVIER;2023;1
POUSO NOVO;2020;3
POUSO NOVO;2021;0
POUSO NOVO;2022;0
POUSO NOVO;2023;0
PRESIDENTE LUCENA;2020;1
PRESIDENTE LUCENA;2021;0
PRESIDENTE LUCENA;2022;0
PRESIDENTE LUCENA;2023;0
PROGRESSO;2020;0
PROGRESSO;2021;1
PROGRESSO;2022;0
PROGRESSO;2023;2
PROTASIO ALVES;2020;1
PROTASIO ALVES;2021;1
PROTASIO ALVES;2022;1
PROTASIO ALVES;2023;0
PUTINGA;2020;0
PUTINGA;2021;1
PUTINGA;2022;0
PUTINGA;2023;0
QUARAI;2020;6
QUARAI;2021;18
QUARAI;2022;14
QUARAI;2023;6
QUATRO IRMAOS;2020;15
QUATRO IRMAOS;2021;0
QUATRO IRMAOS;2022;0
QUATRO IRMAOS;2023;0
QUEVEDOS;2020;0
QUEVEDOS;2021;0
QUEVEDOS;2022;0
QUEVEDOS;2023;0
QUINZE DE NOVEMBRO;2020;2
QUINZE DE NOVEMBRO;2021;1
QUINZE DE NOVEMBRO;2022;1
QUINZE DE NOVEMBRO;2023;0
REDENTORA;2020;2
REDENTORA;2021;8
REDENTORA;2022;10
REDENTORA;2023;1
RELVADO;2020;3
RELVADO;2021;0
RELVADO;2022;0
RELVADO;2023;0
RESTINGA SECA;2020;1
RESTINGA SECA;2021;5
RESTINGA SECA;2022;3
RESTINGA SECA;2023;1
RIO DOS INDIOS;2020;8
RIO DOS INDIOS;2021;0
RIO DOS INDIOS;2022;1
RIO DOS INDIOS;2023;3
RIO GRANDE;2020;13
RIO GRANDE;2021;65
RIO GRANDE;2022;116
RIO GRANDE;2023;79
RIO PARDO;2020;70
RIO PARDO;2021;0
RIO PARDO;2022;3
RIO PARDO;2023;1
RIOZINHO;2020;4
RIOZINHO;2021;0
RIOZINHO;2022;0
RIOZINHO;2023;1
ROCA SALES;2020;1
ROCA SALES;2021;3
ROCA SALES;2022;2
ROCA SALES;2023;1
RODEIO BONITO;2020;1
RODEIO BONITO;2021;0
RODEIO BONITO;2022;1
RODEIO BONITO;2023;1
ROLADOR;2020;1
ROLADOR;2021;0
ROLADOR;2022;0
ROLADOR;2023;0
ROLANTE;2020;0
ROLANTE;2021;2
ROLANTE;2022;7
ROLANTE;2023;1
RONDA ALTA;2020;1
RONDA ALTA;2021;10
RONDA ALTA;2022;4
RONDA ALTA;2023;1
RONDINHA;2020;2
RONDINHA;2021;0
RONDINHA;2022;0
RONDINHA;2023;0
ROQUE GONZALES;2020;0
ROQUE GONZALES;2021;2
ROQUE GONZALES;2022;4
ROQUE GONZALES;2023;0
ROSARIO DO SUL;2020;6
ROSARIO DO SUL;2021;13
ROSARIO DO SUL;2022;22
ROSARIO DO SUL;2023;20
SAGRADA FAMILIA;2020;10
SAGRADA FAMILIA;2021;0
SAGRADA FAMILIA;2022;0
SAGRADA FAMILIA;2023;0
SALDANHA MARINHO;2020;0
SALDANHA MARINHO;2021;4
SALDANHA MARINHO;2022;2
SALDANHA MARINHO;2023;4
SALTO DO JACUI;2020;2
SALTO DO JACUI;2021;1
SALTO DO JACUI;2022;3
SALTO DO JACUI;2023;6
SALVADOR DAS MISSOES;2020;4
SALVADOR DAS MISSOES;2021;0
SALVADOR DAS MISSOES;2022;0
SALVADOR DAS MISSOES;2023;0
SALVADOR DO SUL;2020;0
SALVADOR DO SUL;2021;1
SALVADOR DO SUL;2022;0
SALVADOR DO SUL;2023;0
SANANDUVA;2020;2
SANANDUVA;2021;0
SANANDUVA;2022;5
SANANDUVA;2023;3
SANT'ANA DO LIVRAMENTO;2020;6
SANT'ANA DO LIVRAMENTO;2021;28
SANT'ANA DO LIVRAMENTO;2022;18
SANT'ANA DO LIVRAMENTO;2023;37
SANTA BARBARA DO SUL;2020;9
SANTA BARBARA DO SUL;2021;4
SANTA BARBARA DO SUL;2022;2
SANTA BARBARA DO SUL;2023;0
SANTA CECILIA DO SUL;2020;1
SANTA CECILIA DO SUL;2021;0
SANTA CECILIA DO SUL;2022;2
SANTA CECILIA DO SUL;2023;0
SANTA CLARA DO SUL;2020;0
SANTA CLARA DO SUL;2021;0
SANTA CLARA DO SUL;2022;0
SANTA CLARA DO SUL;2023;0
SANTA CRUZ DO SUL;2020;1
SANTA CRUZ DO SUL;2021;18
SANTA CRUZ DO SUL;2022;15
SANTA CRUZ DO SUL;2023;15
SANTA MARGARIDA DO SUL;2020;23
SANTA MARGARIDA DO SUL;2021;0
SANTA MARGARIDA DO SUL;2022;0
SANTA MARGARIDA DO SUL;2023;0
SANTA MARIA;2020;25
SANTA MARIA;2021;140
SANTA MARIA;2022;162
SANTA MARIA;2023;122
SANTA MARIA DO HERVAL;2020;119
SANTA MARIA DO HERVAL;2021;3
SANTA MARIA DO HERVAL;2022;2
SANTA MARIA DO HERVAL;2023;0
SANTA ROSA;2020;1
SANTA ROSA;2021;13
SANTA ROSA;2022;6
SANTA ROSA;2023;9
SANTA TEREZA;2020;4
SANTA TEREZA;2021;1
SANTA TEREZA;2022;0
SANTA TEREZA;2023;0
SANTA VITORIA DO PALMAR;2020;5
SANTA VITORIA DO PALMAR;2021;14
SANTA VITORIA DO PALMAR;2022;10
SANTA VITORIA DO PALMAR;2023;14
SANTANA DA BOA VISTA;2020;20
SANTANA DA BOA VISTA;2021;0
SANTANA DA BOA VISTA;2022;0
SANTANA DA BOA VISTA;2023;0
SANTIAGO;2020;16
SANTIAGO;2021;9
SANTIAGO;2022;17
SANTIAGO;2023;8
SANTO ANGELO;2020;14
SANTO ANGELO;2021;27
SANTO ANGELO;2022;29
SANTO ANGELO;2023;33
SANTO ANTONIO DA PATRULHA;2020;12
SANTO ANTONIO DA PATRULHA;2021;12
SANTO ANTONIO DA PATRULHA;2022;8
SANTO ANTONIO DA PATRULHA;2023;8
SANTO ANTONIO DAS MISSOES;2020;9
SANTO ANTONIO DAS MISSOES;2021;0
SANTO ANTONIO DAS MISSOES;2022;2
SANTO ANTONIO DAS MISSOES;2023;0
SANTO ANTONIO DO PALMA;2020;3
SANTO ANTONIO DO PALMA;2021;0
SANTO ANTONIO DO PALMA;2022;0
SANTO ANTONIO DO PALMA;2023;0
SANTO ANTONIO DO PLANALTO;2020;2
SANTO ANTONIO DO PLANALTO;2021;0
SANTO ANTONIO DO PLANALTO;2022;0
SANTO ANTONIO DO PLANALTO;2023;0
SANTO AUGUSTO;2020;1
SANTO AUGUSTO;2021;3
SANTO AUGUSTO;2022;7
SANTO AUGUSTO;2023;1
SANTO CRISTO;2020;0
SANTO CRISTO;2021;1
SANTO CRISTO;2022;0
SANTO CRISTO;2023;0
SANTO EXPEDITO DO SUL;2020;2
SANTO EXPEDITO DO SUL;2021;1
SANTO EXPEDITO DO SUL;2022;1
SANTO EXPEDITO DO SUL;2023;1
SAO BORJA;2020;2
SAO BORJA;2021;11
SAO BORJA;2022;17
SAO BORJA;2023;12
SAO DOMINGOS DO SUL;2020;16
SAO DOMINGOS DO SUL;2021;0
SAO DOMINGOS DO SUL;2022;1
SAO DOMINGOS DO SUL;2023;0
SAO FRANCISCO DE ASSIS;2020;1
SAO FRANCISCO DE ASSIS;2021;3
SAO FRANCISCO DE ASSIS;2022;1
SAO FRANCISCO DE ASSIS;2023;3
SAO FRANCISCO DE PAULA;2020;6
SAO FRANCISCO DE PAULA;2021;8
SAO FRANCISCO DE PAULA;2022;3
SAO FRANCISCO DE PAULA;2023;3
SAO GABRIEL;2020;6
SAO GABRIEL;2021;15
SAO GABRIEL;2022;11
SAO GABRIEL;2023;17
SAO JERONIMO;2020;19
SAO JERONIMO;2021;5
SAO JERONIMO;2022;9
SAO JERONIMO;2023;11
SAO JOAO DA URTIGA;2020;5
SAO JOAO DA URTIGA;2021;1
SAO JOAO DA URTIGA;2022;0
SAO JOAO DA URTIGA;2023;0
SAO JOAO DO POLESINE;2020;0
SAO JOAO DO POLESINE;2021;0
SAO JOAO DO POLESINE;2022;0
SAO JOAO DO POLESINE;2023;0
SAO JORGE;2020;0
SAO JORGE;2021;1
SAO JORGE;2022;0
SAO JORGE;2023;0
SAO JOSE DAS MISSOES;2020;1
SAO JOSE DAS MISSOES;2021;2
SAO JOSE DAS MISSOES;2022;0
SAO JOSE DAS MISSOES;2023;0
SAO JOSE DO HERVAL;2020;0
SAO JOSE DO HERVAL;2021;2
SAO JOSE DO HERVAL;2022;2
SAO JOSE DO HERVAL;2023;2
SAO JOSE DO HORTENCIO;2020;0
SAO JOSE DO HORTENCIO;2021;0
SAO JOSE DO HORTENCIO;2022;1
SAO JOSE DO HORTENCIO;2023;0
SAO JOSE DO INHACORA;2020;0
SAO JOSE DO INHACORA;2021;0
SAO JOSE DO INHACORA;2022;0
SAO JOSE DO INHACORA;2023;0
SAO JOSE DO NORTE;2020;1
SAO JOSE DO NORTE;2021;2
SAO JOSE DO NORTE;2022;5
SAO JOSE DO NORTE;2023;4
SAO JOSE DO OURO;2020;1
SAO JOSE DO OURO;2021;0
SAO JOSE DO OURO;2022;0
SAO JOSE DO OURO;2023;1
SAO JOSE DO SUL;2020;0
SAO JOSE DO SUL;2021;1
SAO JOSE DO SUL;2022;0
SAO JOSE DO SUL;2023;0
SAO JOSE DOS AUSENTES;2020;1
SAO JOSE DOS AUSENTES;2021;3
SAO JOSE DOS AUSENTES;2022;1
SAO JOSE DOS AUSENTES;2023;1
SAO LEOPOLDO;2020;15
SAO LEOPOLDO;2021;66
SAO LEOPOLDO;2022;56
SAO LEOPOLDO;2023;24
SAO LOURENCO DO SUL;2020;66
SAO LOURENCO DO SUL;2021;4
SAO LOURENCO DO SUL;2022;4
SAO LOURENCO DO SUL;2023;6
SAO LUIZ GONZAGA;2020;13
SAO LUIZ GONZAGA;2021;8
SAO LUIZ GONZAGA;2022;13
SAO LUIZ GONZAGA;2023;15
SAO MARCOS;2020;11
SAO MARCOS;2021;6
SAO MARCOS;2022;7
SAO MARCOS;2023;2
SAO MARTINHO;2020;2
SAO MARTINHO;2021;1
SAO MARTINHO;2022;2
SAO MARTINHO;2023;0
SAO MARTINHO DA SERRA;2020;0
SAO MARTINHO DA SERRA;2021;2
SAO MARTINHO DA SERRA;2022;0
SAO MARTINHO DA SERRA;2023;4
SAO MIGUEL DAS MISSOES;2020;0
SAO MIGUEL DAS MISSOES;2021;2
SAO MIGUEL DAS MISSOES;2022;1
SAO MIGUEL DAS MISSOES;2023;1
SAO NICOLAU;2020;3
SAO NICOLAU;2021;2
SAO NICOLAU;2022;1
SAO NICOLAU;2023;1
SAO PAULO DAS MISSOES;2020;0
SAO PAULO DAS MISSOES;2021;0
SAO PAULO DAS MISSOES;2022;5
SAO PAULO DAS MISSOES;2023;2
SAO PEDRO DA SERRA;2020;0
SAO PEDRO DA SERRA;2021;0
SAO PEDRO DA SERRA;2022;0
SAO PEDRO DA SERRA;2023;1
SAO PEDRO DAS MISSOES;2020;0
SAO PEDRO DAS MISSOES;2021;0
SAO PEDRO DAS MISSOES;2022;0
SAO PEDRO DAS MISSOES;2023;0
SAO PEDRO DO BUTIA;2020;1
SAO PEDRO DO BUTIA;2021;0
SAO PEDRO DO BUTIA;2022;0
SAO PEDRO DO BUTIA;2023;0
SAO PEDRO DO SUL;2020;0
SAO PEDRO DO SUL;2021;1
SAO PEDRO DO SUL;2022;2
SAO PEDRO DO SUL;2023;6
SAO SEBASTIAO DO CAI;2020;6
SAO SEBASTIAO DO CAI;2021;4
SAO SEBASTIAO DO CAI;2022;2
SAO SEBASTIAO DO CAI;2023;5
SAO SEPE;2020;3
SAO SEPE;2021;7
SAO SEPE;2022;6
SAO SEPE;2023;5
SAO VALENTIM;2020;8
SAO VALENTIM;2021;0
SAO VALENTIM;2022;2
SAO VALENTIM;2023;0
SAO VALENTIM DO SUL;2020;0
SAO VALENTIM DO SUL;2021;0
SAO VALENTIM DO SUL;2022;0
SAO VALENTIM DO SUL;2023;1
SAO VALERIO DO SUL;2020;0
SAO VALERIO DO SUL;2021;1
SAO VALERIO DO SUL;2022;0
SAO VALERIO DO SUL;2023;0
SAO VENDELINO;2020;0
SAO VENDELINO;2021;0
SAO VENDELINO;2022;0
SAO VENDELINO;2023;0
SAO VICENTE DO SUL;2020;2
SAO VICENTE DO SUL;2021;3
SAO VICENTE DO SUL;2022;4
SAO VICENTE DO SUL;2023;1
SAPIRANGA;2020;7
SAPIRANGA;2021;11
SAPIRANGA;2022;21
SAPIRANGA;2023;19
SAPUCAIA DO SUL;2020;16
SAPUCAIA DO SUL;2021;40
SAPUCAIA DO SUL;2022;28
SAPUCAIA DO SUL;2023;33
SARANDI;2020;29
SARANDI;2021;1
SARANDI;2022;3
SARANDI;2023;6
SEBERI;2020;1
SEBERI;2021;6
SEBERI;2022;7
SEBERI;2023;2
SEDE NOVA;2020;7
SEDE NOVA;2021;0
SEDE NOVA;2022;0
SEDE NOVA;2023;0
SEGREDO;2020;0
SEGREDO;2021;0
SEGREDO;2022;0
SEGREDO;2023;0
SELBACH;2020;2
SELBACH;2021;0
SELBACH;2022;0
SELBACH;2023;0
SENADOR SALGADO FILHO;2020;0
SENADOR SALGADO FILHO;2021;0
SENADOR SALGADO FILHO;2022;0
SENADOR SALGADO FILHO;2023;0
SENTINELA DO SUL;2020;0
SENTINELA DO SUL;2021;4
SENTINELA DO SUL;2022;3
SENTINELA DO SUL;2023;3
SERAFINA CORREA;2020;0
SERAFINA CORREA;2021;3
SERAFINA CORREA;2022;6
SERAFINA CORREA;2023;4
SERIO;2020;0
SERIO;2021;0
SERIO;2022;0
SERIO;2023;0
SERTAO;2020;0
SERTAO;2021;2
SERTAO;2022;9
SERTAO;2023;0
SERTAO SANTANA;2020;0
SERTAO SANTANA;2021;3
SERTAO SANTANA;2022;0
SERTAO SANTANA;2023;2
SETE DE SETEMBRO;2020;0
SETE DE SETEMBRO;2021;0
SETE DE SETEMBRO;2022;0
SETE DE SETEMBRO;2023;2
SEVERIANO DE ALMEIDA;2020;0
SEVERIANO DE ALMEIDA;2021;0
SEVERIANO DE ALMEIDA;2022;0
SEVERIANO DE ALMEIDA;2023;0
SILVEIRA MARTINS;2020;0
SILVEIRA MARTINS;2021;1
SILVEIRA MARTINS;2022;1
SILVEIRA MARTINS;2023;0
SINIMBU;2020;0
SINIMBU;2021;2
SINIMBU;2022;1
SINIMBU;2023;1
SOBRADINHO;2020;3
SOBRADINHO;2021;3
SOBRADINHO;2022;2
SOBRADINHO;2023;2
SOLEDADE;2020;7
SOLEDADE;2021;10
SOLEDADE;2022;18
SOLEDADE;2023;10
TABAI;2020;6
TABAI;2021;1
TABAI;2022;0
TABAI;2023;0
TAPEJARA;2020;1
TAPEJARA;2021;3
TAPEJARA;2022;7
TAPEJARA;2023;2
TAPERA;2020;2
TAPERA;2021;6
TAPERA;2022;1
TAPERA;2023;4
TAPES;2020;4
TAPES;2021;2
TAPES;2022;14
TAPES;2023;2
TAQUARA;2020;7
TAQUARA;2021;9
TAQUARA;2022;15
TAQUARA;2023;37
TAQUARI;2020;19
TAQUARI;2021;6
TAQUARI;2022;3
TAQUARI;2023;5
TAQUARUCU DO SUL;2020;4
TAQUARUCU DO SUL;2021;0
TAQUARUCU DO SUL;2022;1
TAQUARUCU DO SUL;2023;0
TAVARES;2020;0
TAVARES;2021;2
TAVARES;2022;2
TAVARES;2023;0
TENENTE PORTELA;2020;2
TENENTE PORTELA;2021;4
TENENTE PORTELA;2022;8
TENENTE PORTELA;2023;15
TERRA DE AREIA;2020;1
TERRA DE AREIA;2021;0
TERRA DE AREIA;2022;4
TERRA DE AREIA;2023;0
TEUTONIA;2020;2
TEUTONIA;2021;3
TEUTONIA;2022;6
TEUTONIA;2023;1
TIO HUGO;2020;6
TIO HUGO;2021;7
TIO HUGO;2022;0
TIO HUGO;2023;5
TIRADENTES DO SUL;2020;0
TIRADENTES DO SUL;2021;0
TIRADENTES DO SUL;2022;0
TIRADENTES DO SUL;2023;0
TOROPI;2020;4
TOROPI;2021;1
TOROPI;2022;0
TOROPI;2023;0
TORRES;2020;2
TORRES;2021;8
TORRES;2022;16
TORRES;2023;14
TRAMANDAI;2020;14
TRAMANDAI;2021;18
TRAMANDAI;2022;25
TRAMANDAI;2023;20
